Primer,SequenceID,Raw_Match(%),Alignment_Length,Mismatches,Gaps,Primer_Start,Primer_End,Seq_Start,Seq_End,Expect,Score,Primer_Length,Primer_Length/Alignment_length_dif,ID,Length_Para,Match(%),Total_Mis
InfA_MP_M52c,252233643,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233643,0,1.0,0
InfA_MP_M52c,252233630,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233630,0,1.0,0
InfA_MP_M52c,252233627,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233627,0,1.0,0
InfA_MP_M52c,252233626,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233626,0,1.0,0
InfA_MP_M52c,252233624,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233624,0,1.0,0
InfA_MP_M52c,252233621,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233621,0,1.0,0
InfA_MP_M52c,252233620,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233620,0,1.0,0
InfA_MP_M52c,252233587,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233587,0,1.0,0
InfA_MP_M52c,252233586,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233586,0,1.0,0
InfA_MP_M52c,252233585,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233585,0,1.0,0
InfA_MP_M52c,252233584,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233584,0,1.0,0
InfA_MP_M52c,252233583,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233583,0,1.0,0
InfA_MP_M52c,252233566,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233566,0,1.0,0
InfA_MP_M52c,252233565,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233565,0,1.0,0
InfA_MP_M52c,252233564,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233564,0,1.0,0
InfA_MP_M52c,252233442,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233442,0,1.0,0
InfA_MP_M52c,252233438,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233438,0,1.0,0
InfA_MP_M52c,252233400,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233400,0,1.0,0
InfA_MP_M52c,252233370,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233370,0,1.0,0
InfA_MP_M52c,252233359,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233359,0,1.0,0
InfA_MP_M52c,252233357,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233357,0,1.0,0
InfA_MP_M52c,252233356,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233356,0,1.0,0
InfA_MP_M52c,252233152,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233152,0,1.0,0
InfA_MP_M52c,252233403,95.238,21,1,0,1,21,7,27,6.06e-05,31.6,21,0,InfA_MP_M52c_252233403,0,0.9523809523809523,1
InfA_MP_M149r,252233849,100.0,23,0,0,1,23,146,124,9.67e-07,37.9,23,0,InfA_MP_M149r_252233849,0,1.0,0
InfA_MP_M149r,252233833,100.0,23,0,0,1,23,146,124,9.67e-07,37.9,23,0,InfA_MP_M149r_252233833,0,1.0,0
InfA_MP_M149r,252233751,100.0,23,0,0,1,23,146,124,9.67e-07,37.9,23,0,InfA_MP_M149r_252233751,0,1.0,0
InfA_MP_M149r,252233746,100.0,23,0,0,1,23,146,124,9.67e-07,37.9,23,0,InfA_MP_M149r_252233746,0,1.0,0
InfA_MP_M149r,252233744,100.0,23,0,0,1,23,146,124,9.67e-07,37.9,23,0,InfA_MP_M149r_252233744,0,1.0,0
InfA_MP_M149r,252233438,100.0,23,0,0,1,23,146,124,9.67e-07,37.9,23,0,InfA_MP_M149r_252233438,0,1.0,0
InfA_MP_M149r,252233403,100.0,23,0,0,1,23,146,124,9.67e-07,37.9,23,0,InfA_MP_M149r_252233403,0,1.0,0
InfA_MP_M149r,252233841,100.0,22,0,0,1,22,146,125,2.88e-06,36.3,23,1,InfA_MP_M149r_252233841,1,0.9565217391304348,1
InfA_MP_M149r,252233813,100.0,22,0,0,1,22,146,125,2.88e-06,36.3,23,1,InfA_MP_M149r_252233813,1,0.9565217391304348,1
InfA_MP_M149r,252233808,100.0,22,0,0,1,22,146,125,2.88e-06,36.3,23,1,InfA_MP_M149r_252233808,1,0.9565217391304348,1
InfA_MP_M149r,252233692,100.0,22,0,0,1,22,146,125,2.88e-06,36.3,23,1,InfA_MP_M149r_252233692,1,0.9565217391304348,1
InfA_MP_M149r,252233630,100.0,22,0,0,1,22,146,125,2.88e-06,36.3,23,1,InfA_MP_M149r_252233630,1,0.9565217391304348,1
InfA_MP_M149r,252233626,100.0,22,0,0,1,22,146,125,2.88e-06,36.3,23,1,InfA_MP_M149r_252233626,1,0.9565217391304348,1
InfA_MP_M149r,252233621,100.0,22,0,0,1,22,146,125,2.88e-06,36.3,23,1,InfA_MP_M149r_252233621,1,0.9565217391304348,1
InfA_MP_M149r,252233620,100.0,22,0,0,1,22,146,125,2.88e-06,36.3,23,1,InfA_MP_M149r_252233620,1,0.9565217391304348,1
InfA_MP_M149r,252233585,100.0,22,0,0,1,22,146,125,2.88e-06,36.3,23,1,InfA_MP_M149r_252233585,1,0.9565217391304348,1
InfA_MP_M149r,252233584,100.0,22,0,0,1,22,146,125,2.88e-06,36.3,23,1,InfA_MP_M149r_252233584,1,0.9565217391304348,1
InfA_MP_M149r,252233566,100.0,22,0,0,1,22,146,125,2.88e-06,36.3,23,1,InfA_MP_M149r_252233566,1,0.9565217391304348,1
InfA_MP_M149r,252233565,100.0,22,0,0,1,22,146,125,2.88e-06,36.3,23,1,InfA_MP_M149r_252233565,1,0.9565217391304348,1
InfA_MP_M149r,252233564,100.0,22,0,0,1,22,146,125,2.88e-06,36.3,23,1,InfA_MP_M149r_252233564,1,0.9565217391304348,1
InfA_MP_M149r,252233359,100.0,22,0,0,1,22,146,125,2.88e-06,36.3,23,1,InfA_MP_M149r_252233359,1,0.9565217391304348,1
InfA_MP_M149r,252233357,100.0,22,0,0,1,22,146,125,2.88e-06,36.3,23,1,InfA_MP_M149r_252233357,1,0.9565217391304348,1
InfA_MP_M149r,252233152,100.0,22,0,0,1,22,146,125,2.88e-06,36.3,23,1,InfA_MP_M149r_252233152,1,0.9565217391304348,1
InfA_MP_M149r,252233848,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233848,1,0.9130434782608695,2
InfA_MP_M149r,252233846,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233846,1,0.9130434782608695,2
InfA_MP_M149r,252233842,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233842,1,0.9130434782608695,2
InfA_MP_M149r,252233840,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233840,1,0.9130434782608695,2
InfA_MP_M149r,252233839,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233839,1,0.9130434782608695,2
InfA_MP_M149r,252233837,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233837,1,0.9130434782608695,2
InfA_MP_M149r,252233820,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233820,1,0.9130434782608695,2
InfA_MP_M149r,252233818,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233818,1,0.9130434782608695,2
InfA_MP_M149r,252233760,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233760,1,0.9130434782608695,2
InfA_MP_M149r,252233759,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233759,1,0.9130434782608695,2
InfA_MP_M149r,252233750,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233750,1,0.9130434782608695,2
InfA_MP_M149r,252233745,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233745,1,0.9130434782608695,2
InfA_MP_M149r,252233724,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233724,1,0.9130434782608695,2
InfA_MP_M149r,252233723,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233723,1,0.9130434782608695,2
InfA_MP_M149r,252233722,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233722,1,0.9130434782608695,2
InfA_MP_M149r,252233681,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233681,1,0.9130434782608695,2
InfA_MP_M149r,252233662,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233662,1,0.9130434782608695,2
InfA_MP_M149r,252233643,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233643,1,0.9130434782608695,2
InfA_MP_M149r,252233627,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233627,1,0.9130434782608695,2
InfA_MP_M149r,252233624,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233624,1,0.9130434782608695,2
InfA_MP_M149r,252233587,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233587,1,0.9130434782608695,2
InfA_MP_M149r,252233586,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233586,1,0.9130434782608695,2
InfA_MP_M149r,252233583,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233583,1,0.9130434782608695,2
InfA_MP_M149r,252233442,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233442,1,0.9130434782608695,2
InfA_MP_M149r,252233400,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233400,1,0.9130434782608695,2
InfA_MP_M149r,252233370,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233370,1,0.9130434782608695,2
InfA_MP_M149r,252233356,95.455,22,1,0,1,22,146,125,2.55e-05,33.1,23,1,InfA_MP_M149r_252233356,1,0.9130434782608695,2
InfA_MP_probeM93c,252233849,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233849,0,1.0,0
InfA_MP_probeM93c,252233848,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233848,0,1.0,0
InfA_MP_probeM93c,252233846,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233846,0,1.0,0
InfA_MP_probeM93c,252233842,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233842,0,1.0,0
InfA_MP_probeM93c,252233841,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233841,0,1.0,0
InfA_MP_probeM93c,252233840,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233840,0,1.0,0
InfA_MP_probeM93c,252233839,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233839,0,1.0,0
InfA_MP_probeM93c,252233837,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233837,0,1.0,0
InfA_MP_probeM93c,252233833,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233833,0,1.0,0
InfA_MP_probeM93c,252233820,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233820,0,1.0,0
InfA_MP_probeM93c,252233818,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233818,0,1.0,0
InfA_MP_probeM93c,252233813,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233813,0,1.0,0
InfA_MP_probeM93c,252233808,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233808,0,1.0,0
InfA_MP_probeM93c,252233760,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233760,0,1.0,0
InfA_MP_probeM93c,252233759,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233759,0,1.0,0
InfA_MP_probeM93c,252233751,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233751,0,1.0,0
InfA_MP_probeM93c,252233750,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233750,0,1.0,0
InfA_MP_probeM93c,252233746,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233746,0,1.0,0
InfA_MP_probeM93c,252233745,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233745,0,1.0,0
InfA_MP_probeM93c,252233744,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233744,0,1.0,0
InfA_MP_probeM93c,252233724,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233724,0,1.0,0
InfA_MP_probeM93c,252233723,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233723,0,1.0,0
InfA_MP_probeM93c,252233722,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233722,0,1.0,0
InfA_MP_probeM93c,252233692,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233692,0,1.0,0
InfA_MP_probeM93c,252233681,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233681,0,1.0,0
InfA_MP_probeM93c,252233662,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233662,0,1.0,0
InfA_MP_probeM93c,252233643,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233643,0,1.0,0
InfA_MP_probeM93c,252233630,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233630,0,1.0,0
InfA_MP_probeM93c,252233627,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233627,0,1.0,0
InfA_MP_probeM93c,252233626,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233626,0,1.0,0
InfA_MP_probeM93c,252233624,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233624,0,1.0,0
InfA_MP_probeM93c,252233621,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233621,0,1.0,0
InfA_MP_probeM93c,252233620,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233620,0,1.0,0
InfA_MP_probeM93c,252233587,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233587,0,1.0,0
InfA_MP_probeM93c,252233586,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233586,0,1.0,0
InfA_MP_probeM93c,252233585,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233585,0,1.0,0
InfA_MP_probeM93c,252233584,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233584,0,1.0,0
InfA_MP_probeM93c,252233583,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233583,0,1.0,0
InfA_MP_probeM93c,252233566,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233566,0,1.0,0
InfA_MP_probeM93c,252233565,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233565,0,1.0,0
InfA_MP_probeM93c,252233564,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233564,0,1.0,0
InfA_MP_probeM93c,252233442,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233442,0,1.0,0
InfA_MP_probeM93c,252233438,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233438,0,1.0,0
InfA_MP_probeM93c,252233400,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233400,0,1.0,0
InfA_MP_probeM93c,252233370,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233370,0,1.0,0
InfA_MP_probeM93c,252233359,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233359,0,1.0,0
InfA_MP_probeM93c,252233357,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233357,0,1.0,0
InfA_MP_probeM93c,252233356,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233356,0,1.0,0
InfA_MP_probeM93c,252233152,100.0,23,0,0,1,23,46,68,9.67e-07,37.9,23,0,InfA_MP_probeM93c_252233152,0,1.0,0
InfA_MP_probeM93c,252233403,95.652,23,1,0,1,23,46,68,8.56e-06,34.7,23,0,InfA_MP_probeM93c_252233403,0,0.9565217391304348,1
InfA_MA_InfA_For1,252233403,92.0,25,2,0,1,25,143,167,1.2e-05,34.7,25,0,InfA_MA_InfA_For1_252233403,0,0.92,2
InfA_MA_InfA_For1,252233849,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233849,0,1.0,0
InfA_MA_InfA_For1,252233848,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233848,0,1.0,0
InfA_MA_InfA_For1,252233846,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233846,0,1.0,0
InfA_MA_InfA_For1,252233842,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233842,0,1.0,0
InfA_MA_InfA_For1,252233841,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233841,0,1.0,0
InfA_MA_InfA_For1,252233840,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233840,0,1.0,0
InfA_MA_InfA_For1,252233839,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233839,0,1.0,0
InfA_MA_InfA_For1,252233837,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233837,0,1.0,0
InfA_MA_InfA_For1,252233833,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233833,0,1.0,0
InfA_MA_InfA_For1,252233820,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233820,0,1.0,0
InfA_MA_InfA_For1,252233818,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233818,0,1.0,0
InfA_MA_InfA_For1,252233813,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233813,0,1.0,0
InfA_MA_InfA_For1,252233808,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233808,0,1.0,0
InfA_MA_InfA_For1,252233760,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233760,0,1.0,0
InfA_MA_InfA_For1,252233759,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233759,0,1.0,0
InfA_MA_InfA_For1,252233751,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233751,0,1.0,0
InfA_MA_InfA_For1,252233750,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233750,0,1.0,0
InfA_MA_InfA_For1,252233746,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233746,0,1.0,0
InfA_MA_InfA_For1,252233745,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233745,0,1.0,0
InfA_MA_InfA_For1,252233744,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233744,0,1.0,0
InfA_MA_InfA_For1,252233724,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233724,0,1.0,0
InfA_MA_InfA_For1,252233723,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233723,0,1.0,0
InfA_MA_InfA_For1,252233722,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233722,0,1.0,0
InfA_MA_InfA_For1,252233692,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233692,0,1.0,0
InfA_MA_InfA_For1,252233681,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233681,0,1.0,0
InfA_MA_InfA_For1,252233662,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233662,0,1.0,0
InfA_MA_InfA_For1,252233643,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233643,0,1.0,0
InfA_MA_InfA_For1,252233630,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233630,0,1.0,0
InfA_MA_InfA_For1,252233627,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233627,0,1.0,0
InfA_MA_InfA_For1,252233626,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233626,0,1.0,0
InfA_MA_InfA_For1,252233624,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233624,0,1.0,0
InfA_MA_InfA_For1,252233621,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233621,0,1.0,0
InfA_MA_InfA_For1,252233620,100.0,25,0,0,1,25,143,167,1.53e-07,41.0,25,0,InfA_MA_InfA_For1_252233620,0,1.0,0
